IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.179,-0.250,0.008,0.000,-10.748,0.015
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.185,-0.226,0.008,0.160,-10.702,0.511
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.177,-0.226,0.009,0.031,-10.664,0.519
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.184,-0.248,0.009,0.061,-10.641,0.489
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.178,-0.222,0.010,0.214,-10.733,0.557
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.182,-0.226,0.009,0.038,-10.687,0.489
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.182,-0.222,0.008,0.053,-10.687,0.489
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.188,-0.223,0.008,0.000,-10.649,0.511
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.183,-0.227,0.008,0.069,-10.656,0.496
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.187,-0.224,0.008,0.069,-10.748,0.641
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.182,-0.250,0.008,0.008,-10.733,0.641
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.182,-0.223,0.008,0.244,-10.649,0.641
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.182,-0.225,0.010,0.244,-10.679,0.489
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.181,-0.223,0.008,0.008,-10.649,0.641
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.182,-0.224,0.011,0.000,-10.649,0.489
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.182,-0.249,0.008,0.000,-10.679,0.687
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.183,-0.223,0.009,0.191,-10.672,0.641
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.181,-0.226,0.010,0.183,-10.687,0.641
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.184,-0.223,0.008,0.031,-10.687,0.489
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.182,-0.223,0.010,0.183,-10.656,0.489
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
IMU,0x68,-0.182,-0.226,0.011,0.206,-10.672,0.679
IMU,0x69,0.000,0.000,0.000,0.000,0.000,0.000
